Municipality ID,Municipality,Monthly Wage,Worked Hours Week
1001,Aguascalientes,2227.049587878673,25.254007670281904
1002,Asientos,1729.7497642896767,22.96215926636446
1003,Calvillo,1654.7098541472642,22.685209625166163
1004,Cosío,1490.9956481546928,21.445019146733415
1005,Jesús María,2209.0721741864313,26.47847632421215
1006,Pabellón de Arteaga,2091.601812313971,23.97806605760227
1007,Rincón de Romos,1693.4816510616668,22.19834987471689
1008,San José de Gracia,1559.6037171263793,20.03076207661708
1009,Tepezalá,1674.0902804199213,23.156912647292145
1010,El Llano,1690.2203814495274,22.25972751546133
1011,San Francisco de los Romo,2153.493679611008,25.815956922488432
2001,Ensenada,3033.122308741916,24.322603122218204
2002,Mexicali,3145.889176315283,23.50652202296001
2003,Tecate,2932.772897295317,23.153994641291597
2004,Tijuana,2880.8411627137593,24.257323948839346
2005,Playas de Rosarito,3022.2728536004515,24.020976651690358
3001,Comondú,3421.207701283291,23.049707392274946
3002,Mulegé,4221.014405550948,26.606608479063713
3003,La Paz,4200.585410609331,23.87921018020136
3008,Los Cabos,5694.0094770064925,28.894059374922893
3009,Loreto,3743.934580488411,23.141140214069118
4001,Calkiní,2380.012647135712,23.19756274383053
4002,Campeche,3236.9039460219547,24.763164665129143
4003,Carmen,4231.784230080599,25.878012122927803
4004,Champotón,2243.4429754130742,23.11162824475378
4005,Hecelchakán,2450.4901934356403,22.761690262511593
4006,Hopelchén,1658.768973150464,22.132423801913568
4007,Palizada,2196.210119400719,21.287779067904065
4008,Tenabo,2216.8563762392964,27.54501061122784
4009,Escárcega,2369.293912303795,25.102923159372256
4010,Calakmul,1345.714117061631,21.821019737174655
4011,Candelaria,1635.8646607173778,21.913557579008273
5001,Abasolo,1539.6400508762013,17.31830601092896
5002,Acuña,3509.6031308884835,26.196301272654537
5003,Allende,3883.109226876444,24.045908162348177
5004,Arteaga,3145.5515922188347,24.745212167228882
5005,Candela,2143.048457142857,22.40592457142857
5006,Castaños,3067.625223679028,23.60895841539587
5007,Cuatro Ciénegas,2256.68443107106,23.15111856062246
5008,Escobedo,1926.5603277536418,20.62222080245336
5009,Francisco I. Madero,2737.9976314704377,23.167689085270272
5010,Frontera,3478.947546483862,23.999751867999382
5011,General Cepeda,2516.111215880825,24.633923913327763
5012,Guerrero,2528.13951954781,20.598002826189354
5013,Hidalgo,2293.385741756788,21.54264065063599
5014,Jiménez,2568.02086103572,22.43328430390353
5016,Lamadrid,1595.326201011378,17.244079224610196
5017,Matamoros,2893.8721570375405,23.143272683887634
5018,Monclova,3617.199579853695,23.665387199678012
5019,Morelos,1586.8537070125074,16.51689385878621
5020,Múzquiz,2780.7187339717257,22.085320695727184
5021,Nadadores,2190.1069182846604,22.555190891796517
5022,Nava,3297.7751397700804,23.293439033403256
5023,Ocampo,4562.745971802618,25.802783372496364
5024,Parras,3083.2952323070076,25.70103079596953
5025,Piedras Negras,3697.8926192038357,24.947583620451045
5026,Progreso,2544.8009216930336,22.00889369129748
5027,Ramos Arizpe,4060.2916792930223,27.21730826257902
5028,Sabinas,3617.4387257905623,24.368221903657197
5029,Sacramento,3740.553191489362,27.851063829787233
5030,Saltillo,3936.572590463789,24.862384855306694
5031,San Buenaventura,3254.421897632312,21.899487000928506
5032,San Juan de Sabinas,2842.703174277594,22.910619261350558
5033,San Pedro,2464.538860076367,22.008664182166935
5034,Sierra Mojada,2445.9580953540767,15.643512147597882
5035,Torreón,3299.6605177946117,23.39188263351748
5036,Viesca,1858.6964342556553,18.86996720399321
5037,Villa Unión,1829.4502339906003,20.890593945305323
5038,Zaragoza,1980.7805666772963,21.833202234584085
5999,No Informado,3966.9823308547448,21.5441033317791
6001,Armería,2678.0413454553554,24.90849276838943
6002,Colima,3073.469326835843,23.700145678422693
6003,Comala,2702.662102109712,24.329288888486637
6004,Coquimatlán,2878.816892770618,25.565902161289902
6005,Cuauhtémoc,3103.0031661732,23.51654742098754
6006,Ixtlahuacán,2298.375349997778,22.308991688941656
6007,Manzanillo,3991.2176259431335,27.18851725618247
6008,Minatitlán,2975.038287388175,24.542029170088583
6009,Tecomán,3091.554911006323,27.01632885923269
6010,Villa de Álvarez,3630.238698519761,25.260986173466407
7001,Acacoyagua,1552.999747054127,21.57682843731072
7002,Acala,1218.5092483721144,22.946843863947237
7003,Acapetahua,4231.904200746049,26.549508569571927
7004,Altamirano,648.9664956033291,19.279592977090257
7005,Amatán,462.150437174616,15.729338765590342
7006,Amatenango de la Frontera,874.9203408045936,18.76617959397795
7009,Arriaga,2253.195170601884,22.14025844753177
7010,Bejucal de Ocampo,917.8069201309286,18.5914578391487
7011,Bella Vista,752.4261150562515,18.247809312825904
7012,Berriozábal,2092.1662346139306,24.424736275698532
7013,Bochil,1578.6734629764494,22.08350280008635
7014,El Bosque,494.63108786399806,22.004197091798773
7015,Cacahoatán,1549.8110831355223,20.815027922229387
7016,Catazajá,1732.937803967883,18.698791919887803
7017,Cintalapa,1869.210533736636,21.17776916315095
7018,Coapilla,1626.7019203306395,21.23446906693996
7019,Comitán de Domínguez,2252.0059649971395,26.14237182953824
7020,La Concordia,903.3563981096906,21.61390157086975
7021,Copainalá,1431.96405778486,22.211238945662778
7022,Chalchihuitán,515.0508443818186,20.764480454322253
7023,Chamula,555.5529831260869,21.821201529727002
7025,Chapultenango,597.0820600310549,18.756212306776266
7026,Chenalhó,422.3333879754276,19.543899955292833
7027,Chiapa de Corzo,2915.4034894595015,25.62066641540502
7029,Chicoasén,1657.1808353351314,23.820861248929614
7030,Chicomuselo,603.9231076844783,18.555983473530155
7031,Chilón,1157.9468220855476,20.011410541272838
7032,Escuintla,1907.5341708124947,22.15471749298819
7034,Frontera Comalapa,1320.314017180093,20.359827238106405
7035,Frontera Hidalgo,787.6836515287557,18.598341288218894
7036,La Grandeza,390.91186935627917,20.30322403829343
7037,Huehuetán,1977.8598927335333,21.971762507035137
