"","Municipality","GINI","population","education","Total.Income","Total.Expenses","Monthly.Wage","Worked.Hours.Week"
"1","Acambay de Ruíz Castañeda",0.383114010095596,67872,64.4723670130139,1114.63197892904,829.391996085644,1231.11199127575,20.3768900024527
"2","Acolman",0.358440011739731,171507,65.2063432309068,12844.7370867729,9543.05107927322,1669.11791870087,24.7188510195011
"3","Aculco",0.332767993211746,49266,64.941386846811,1153.76397357881,766.588003434241,2404.86151164916,25.731334629277
"4","Almoloya de Alquisiras",0.368497997522354,15333,69.2114357524348,363.42299297452,254.891997814178,1499.13139546246,18.7868294140978
"5","Almoloya de Juárez",0.389874011278152,174587,67.2996912193213,4279.26901781559,3027.85102257133,1886.41976616542,23.8033533116191
"6","Almoloya del Río",0.361241012811661,12694,71.4808787632221,226.934993863106,140.949997752905,1687.93213346968,23.9014807020732
"7","Amanalco",0.379393994808197,23675,68.5755633657226,182.688993990421,148.14899790287,2025.2456215775,21.7757350629284
"8","Amatepec",0.39071598649025,25244,69.5230476952305,536.171011865139,391.835991740227,1627.99603805031,19.6324342690008
"9","Amecameca",0.378513008356094,53441,64.9288857055152,2862.31899738312,2033.26900064945,1342.64575771776,26.1368201023906
"10","Apaxco",0.356018006801605,31898,69.8672977770265,4966.79892504215,3621.71911042929,1912.25532076486,24.4077843770032
"11","Atenco",0.360933005809784,75489,68.259044573256,1945.42501592636,1247.76601344347,1772.23333027959,22.1229785243626
"12","Atizapán",0.355883985757828,12984,67.5864606328182,1408.76101309061,1123.2750098221,1687.93213346968,23.9014807020732
"13","Atizapán de Zaragoza",0.391023993492126,523674,68.370947886746,55915.7671051025,38078.9318466187,2062.86360680049,24.0121212749154
"14","Atlacomulco",0.366236001253128,109384,66.2830104226613,28217.9140453339,20220.758731842,2150.1170234399,26.8198941636556
"15","Atlautla",0.373605012893677,31900,65.1078582434515,383.510991901159,252.431999087334,1417.77414111899,25.2642166017532
"16","Axapusco",0.334248006343842,29128,68.6735490587317,674.502005457878,528.477001324296,1687.93213346968,23.9014807020732
"17","Ayapango",0.357143014669418,10053,72.279792746114,69.4909992441535,45.8519992977381,1407.75214877539,24.3933801848329
"18","Calimaya",0.383895993232727,68489,70.0860158509559,1443.52199053764,1149.4919924736,1710.56851069007,25.0389554303722
"19","Capulhuac",0.375214010477066,36921,65.7951314238158,3329.51707315445,2109.40400600433,1737.30956636252,23.9540872717255
"20","Chalco",0.364511996507645,400057,61.523178807947,25414.0964622498,16903.8425979614,1899.91926213532,25.3871514069826
"21","Chapa de Mota",0.324416995048523,31737,69.0646950092421,455.145999848843,373.210988417268,1674.28450586494,22.4498803911786
"22","Chapultepec",0.349380999803543,12772,71.4285714285714,141.212000131607,98.6420007348061,2044.57596202902,24.0059294985253
"23","Chiautla",0.381944000720978,30045,70.2021932830706,718.727004289627,497.198991596699,2256.95757376217,22.3908416970495
"24","Chicoloapan",0.349586009979248,200750,65.9392361980079,9235.4582439661,6832.91280639172,2055.4222359581,26.3058544338299
"25","Chiconcuac",0.382016003131866,27692,69.913092764028,1617.98400902748,1132.63803568482,1940.30958082782,24.1061116636883
"26","Chimalhuacán",0.358922988176346,705193,63.2967064401592,15259.0931224823,10585.6862413883,1819.67480433631,25.4969523654618
"27","Coacalco de Berriozábal",0.351821005344391,293444,73.1427845259401,24863.7871322632,18098.1476554871,1682.43483410223,23.6923062538492
"28","Coatepec Harinas",0.347934007644653,38643,62.649792125214,1107.3300165385,834.56601356715,1675.23722408766,24.9313713401532
"29","Cocotitlán",0.342786014080048,15107,69.2875134940626,679.419006586075,546.87400123477,1230.11813546625,22.76283981345
"30","Coyotepec",0.360040009021759,40885,64.7756856572017,2655.72601354122,1612.47102567554,2007.21956205375,26.6770047761207
"31","Cuautitlán",0.356694012880325,178847,72.0225896782066,44897.7047939301,30501.1822690964,2514.8743894898,25.0133962594009
"32","Cuautitlán Izcalli",0.379056990146637,555163,74.167466948826,186836.557281494,136636.059707642,2304.48371294923,24.7086121921372
